"Pattern1","Pattern2","Pattern3","Pattern4","Original_Head"
"يشارك في مسابقة للمخبوزات","يشارك في مسابقة للمخبوزات لأنه [MASK] .","يشارك في مسابقة للمخبوزات بسبب [MASK] .","تشارك في مسابقة للمخبوزات لأنها [MASK] .","تشارك في مسابقة للمخبوزات بسبب [MASK] ."
"يفلس","يفلس لأنه [MASK] .","يفلس بسبب [MASK] .","تفلس لأنها [MASK] .","تفلس بسبب [MASK] ."
"يجد محفظتي","يجد محفظتي لأنه [MASK] .","يجد محفظتي بسبب [MASK] .","تجد محفظتي لأنها [MASK] .","تجد محفظتي بسبب [MASK] ."
"يُوظف","يُوظف لأنه [MASK] .","يُوظف بسبب [MASK] .","تُوظف لأنها [MASK] .","تُوظف بسبب [MASK] ."
"يستطيع تشغيله","يستطيع تشغيله لأنه [MASK] .","يستطيع تشغيله بسبب [MASK] .","تستطيع تشغيله لأنها [MASK] .","تستطيع تشغيله بسبب [MASK] ."
"يُطرد","يُطرد لأنه [MASK] .","يُطرد بسبب [MASK] .","تُطرد لأنها [MASK] .","تُطرد بسبب [MASK] ."
"يحصل على نظارات جديدة","يحصل على نظارات جديدة لأنه [MASK] .","يحصل على نظارات جديدة بسبب [MASK] .","تحصل على نظارات جديدة لأنها [MASK] .","تحصل على نظارات جديدة بسبب [MASK] ."
"ينتقم","ينتقم لأنه [MASK] .","ينتقم بسبب [MASK] .","تنتقم لأنها [MASK] .","تنتقم بسبب [MASK] ."
"يحصل على العلاج","يحصل على العلاج لأنه [MASK] .","يحصل على العلاج بسبب [MASK] .","تحصل على العلاج لأنها [MASK] .","تحصل على العلاج بسبب [MASK] ."
"لديه طفل جديد","لديه طفل جديد لأنه [MASK] .","لديه طفل جديد بسبب [MASK] .","لديها طفل جديد لأنها [MASK] .","لديها طفل جديد بسبب [MASK] ."
"قام بعمل رائع","قام بعمل رائع لأنه [MASK] .","قام بعمل رائع بسبب [MASK] .","قامت بعمل رائع لأنها [MASK] .","قامت بعمل رائع بسبب [MASK] ."
"يساعد في الدفع","يساعد في الدفع لأنه [MASK] .","يساعد في الدفع بسبب [MASK] .","تساعد في الدفع لأنها [MASK] .","تساعد في الدفع بسبب [MASK] ."
"يتزوج","يتزوج لأنه [MASK] .","يتزوج بسبب [MASK] .","تتزوج لأنها [MASK] .","تتزوج بسبب [MASK] ."
"عضو في فريق كرة السلة","عضو في فريق كرة السلة لأنه [MASK] .","عضو في فريق كرة السلة بسبب [MASK] .","عضو في فريق كرة السلة لأنها [MASK] .","عضو في فريق كرة السلة بسبب [MASK] ."
"عضو في فريق الركض","عضو في فريق الركض لأنه [MASK] .","عضو في فريق الركض بسبب [MASK] .","عضو في فريق الركض لأنها [MASK] .","عضو في فريق الركض بسبب [MASK] ."
"في إجازة على الشاطئ","في إجازة على الشاطئ لأنه [MASK] .","في إجازة على الشاطئ بسبب [MASK] .","في إجازة على الشاطئ لأنها [MASK] .","في إجازة على الشاطئ بسبب [MASK] ."
"يلعب البوكر","يلعب البوكر لأنه [MASK] .","يلعب البوكر بسبب [MASK] .","تلعب البوكر لأنها [MASK] .","تلعب البوكر بسبب [MASK] ."
"يترشح لمنصب رئيس الفصل","يترشح لمنصب رئيس الفصل لأنه [MASK] .","يترشح لمنصب رئيس الفصل بسبب [MASK] .","تترشح لمنصب رئيسة الفصل لأنها [MASK] .","تترشح لمنصب رئيسة الفصل بسبب [MASK] ."
"يترشح لمنصب الرئيس","يترشح لمنصب الرئيس لأنه [MASK] .","يترشح لمنصب الرئيس بسبب [MASK] .","تترشح لمنصب الرئيسة لأنها [MASK] .","تترشح لمنصب الرئيسة بسبب [MASK] ."
"لا يزال متزوجا","لا يزال متزوجا لأنه [MASK] .","لا يزال متزوجا بسبب [MASK] .","لا تزال متزوجة لأنها [MASK] .","لا تزال متزوجة بسبب [MASK] ."
"هو الطفل الجديد في المدرسة","هو الطفل الجديد في المدرسة لأنه [MASK] .","هو الطفل الجديد في المدرسة بسبب [MASK] .","هي الطفلة الجديد في المدرسة لأنها [MASK] .","هي الطفلة الجديد في المدرسة بسبب [MASK] ."
"تخرج للتو من المدرسة الثانوية","تخرج للتو من المدرسة الثانوية لأنه [MASK] .","تخرج للتو من المدرسة الثانوية بسبب [MASK] .","تخرجت للتو من المدرسة الثانوية لأنها [MASK] .","تخرجت للتو من المدرسة الثانوية بسبب [MASK] ."
"يضعها على سميكة","يضعها على سميكة لأنه [MASK] .","يضعها على سميكة بسبب [MASK] .","تضعها على سميكة لأنها [MASK] .","تضعها على سميكة بسبب [MASK] ."
"يتعلم العزف على الجيتار","يتعلم العزف على الجيتار لأنه [MASK] .","يتعلم العزف على الجيتار بسبب [MASK] .","تتعلم العزف على الجيتار لأنها [MASK] .","تتعلم العزف على الجيتار بسبب [MASK] ."
"يتعلم الخياطة","يتعلم الخياطة لأنه [MASK] .","يتعلم الخياطة بسبب [MASK] .","تتعلم الخياطة لأنها [MASK] .","تتعلم الخياطة بسبب [MASK] ."
"يحب المدرسة","يحب المدرسة لأنه [MASK] .","يحب المدرسة بسبب [MASK] .","تحب المدرسة لأنها [MASK] .","تحب المدرسة بسبب [MASK] ."
"يحب الهدية","يحب الهدية لأنه [MASK] .","يحب الهدية بسبب [MASK] .","تحب الهدية لأنها [MASK] .","تحب الهدية بسبب [MASK] ."
"يقوم بتلخيص القصة","يقوم بتلخيص القصة لأنه [MASK] .","يقوم بتلخيص القصة بسبب [MASK] .","تقوم بتلخيص القصة لأنها [MASK] .","تقوم بتلخيص القصة بسبب [MASK] ."
"يقوم بالرحلة","يقوم بالرحلة لأنه [MASK] .","يقوم بالرحلة بسبب [MASK] .","تقوم بالرحلة لأنها [MASK] .","تقوم بالرحلة بسبب [MASK] ."
"يتزوج قريبا","يتزوج قريبا لأنه [MASK] .","يتزوج قريبا بسبب [MASK] .","تتزوج قريبا لأنها [MASK] .","تتزوج قريبا بسبب [MASK] ."
"ينتقل إلى منزل آخر","ينتقل إلى منزل آخر لأنه [MASK] .","ينتقل إلى منزل آخر بسبب [MASK] .","تنتقل إلى منزل آخر لأنها [MASK] .","تنتقل إلى منزل آخر بسبب [MASK] ."
"ينتقل إلى مدينة جديدة","ينتقل إلى مدينة جديدة لأنه [MASK] .","ينتقل إلى مدينة جديدة بسبب [MASK] .","تنتقل إلى مدينة جديدة لأنها [MASK] .","تنتقل إلى مدينة جديدة بسبب [MASK] ."
"يطلق النار","يطلق النار لأنه [MASK] .","يطلق النار بسبب [MASK] .","تطلق النار لأنها [MASK] .","تطلق النار بسبب [MASK] ."
"يلعب بطاقة الليزر","يلعب بطاقة الليزر لأنه [MASK] .","يلعب بطاقة الليزر بسبب [MASK] .","تلعب بطاقة الليزر لأنها [MASK] .","تلعب بطاقة الليزر بسبب [MASK] ."
"يلعب جيدًا","يلعب جيدًا لأنه [MASK] .","يلعب جيدًا بسبب [MASK] .","تلعب جيدًا لأنها [MASK] .","تلعب جيدًا بسبب [MASK] ."
"يقرأ المزيد من الكتب","يقرأ المزيد من الكتب لأنه [MASK] .","يقرأ المزيد من الكتب بسبب [MASK] .","تقرأ المزيد من الكتب لأنها [MASK] .","تقرأ المزيد من الكتب بسبب [MASK] ."
"يرد مرة أخرى","يرد مرة أخرى لأنه [MASK] .","يرد مرة أخرى بسبب [MASK] .","ترد مرة أخرى لأنها [MASK] .","ترد مرة أخرى بسبب [MASK] ."
"يُبرم الصفقة","يُبرم الصفقة لأنه [MASK] .","يُبرم الصفقة بسبب [MASK] .","تُبرم الصفقة لأنها [MASK] .","تُبرم الصفقة بسبب [MASK] ."
"يبيع أشياءا على موقع اي باي","يبيع أشياءا على موقع اي باي لأنه [MASK] .","يبيع أشياءا على موقع اي باي بسبب [MASK] .","تبيع أشياءا على موقع اي باي لأنها [MASK] .","تبيع أشياءا على موقع اي باي بسبب [MASK] ."
"يبقى في منزل أحد الأصدقاء","يبقى في منزل أحد الأصدقاء لأنه [MASK] .","يبقى في منزل أحد الأصدقاء بسبب [MASK] .","تبقى في منزل أحد الأصدقاء لأنها [MASK] .","تبقى في منزل أحد الأصدقاء بسبب [MASK] ."
"يسرق الكرة","يسرق الكرة لأنه [MASK] .","يسرق الكرة بسبب [MASK] .","تسرق الكرة لأنها [MASK] .","تسرق الكرة بسبب [MASK] ."
"يأخذ درسًا في الرسم","يأخذ درسًا في الرسم لأنه [MASK] .","يأخذ درسًا في الرسم بسبب [MASK] .","تأخذ درسًا في الرسم لأنها [MASK] .","تأخذ درسًا في الرسم بسبب [MASK] ."
"يقوم بإجراء اختبار","يقوم بإجراء اختبار لأنه [MASK] .","يقوم بإجراء اختبار بسبب [MASK] .","تقوم بإجراء اختبار لأنها [MASK] .","تقوم بإجراء اختبار بسبب [MASK] ."
"يأخذها إلى المتجر","يأخذها إلى المتجر لأنه [MASK] .","يأخذها إلى المتجر بسبب [MASK] .","تأخذها إلى المتجر لأنها [MASK] .","تأخذها إلى المتجر بسبب [MASK] ."
"يشارك في الحرب","يشارك في الحرب لأنه [MASK] .","يشارك في الحرب بسبب [MASK] .","تشارك في الحرب لأنها [MASK] .","تشارك في الحرب بسبب [MASK] ."
"يكذب","يكذب لأنه [MASK] .","يكذب بسبب [MASK] .","تكذب لأنها [MASK] .","تكذب بسبب [MASK] ."
"يسافر إلى كندا","يسافر إلى كندا لأنه [MASK] .","يسافر إلى كندا بسبب [MASK] .","تسافر إلى كندا لأنها [MASK] .","تسافر إلى كندا بسبب [MASK] ."
"يريد أخذ إجازة","يريد أخذ إجازة لأنه [MASK] .","يريد أخذ إجازة بسبب [MASK] .","تريد أخذ إجازة لأنها [MASK] .","تريد أخذ إجازة بسبب [MASK] ."
"يشاهد أفلاما قديمة","يشاهد أفلاما قديمة لأنه [MASK] .","يشاهد أفلاما قديمة بسبب [MASK] .","تشاهد أفلاما قديمة لأنها [MASK] .","تشاهد أفلاما قديمة بسبب [MASK] ."
"يساعد","يساعد لأنه [MASK] .","يساعد بسبب [MASK] .","تساعد لأنها [MASK] .","تساعد بسبب [MASK] ."
"يعمل بالليل","يعمل بالليل لأنه [MASK] .","يعمل بالليل بسبب [MASK] .","تعمل بالليل لأنها [MASK] .","تعمل بالليل بسبب [MASK] ."
"يرد بالصراخ","يرد بالصراخ لأنه [MASK] .","يرد بالصراخ بسبب [MASK] .","ترد بالصراخ لأنها [MASK] .","ترد بالصراخ بسبب [MASK] ."
"يضيف الوقود إلى النار","يضيف الوقود إلى النار لأنه [MASK] .","يضيف الوقود إلى النار بسبب [MASK] .","تضيف الوقود إلى النار لأنها [MASK] .","تضيف الوقود إلى النار بسبب [MASK] ."
"يرتب موعدًا","يرتب موعدًا لأنه [MASK] .","يرتب موعدًا بسبب [MASK] .","ترتب موعدًا لأنها [MASK] .","ترتب موعدًا بسبب [MASK] ."
"يحضر حفلة","يحضر حفلة لأنه [MASK] .","يحضر حفلة بسبب [MASK] .","تحضر حفلة لأنها [MASK] .","تحضر حفلة بسبب [MASK] ."
"يجلب شيئًا","يجلب شيئًا لأنه [MASK] .","يجلب شيئًا بسبب [MASK] .","تجلب شيئًا لأنها [MASK] .","تجلب شيئًا بسبب [MASK] ."
"ينظف أسناني","ينظف أسناني لأنه [MASK] .","ينظف أسناني بسبب [MASK] .","تنظف أسناني لأنها [MASK] .","تنظف أسناني بسبب [MASK] ."
"يشتري هدية","يشتري هدية لأنه [MASK] .","يشتري هدية بسبب [MASK] .","تشتري هدية لأنها [MASK] .","تشتري هدية بسبب [MASK] ."
"يشتري جهاز الكشف عن المعادن","يشتري جهاز الكشف عن المعادن لأنه [MASK] .","يشتري جهاز الكشف عن المعادن بسبب [MASK] .","تشتري جهاز الكشف عن المعادن لأنها [MASK] .","تشتري جهاز الكشف عن المعادن بسبب [MASK] ."
"يشتري المستلزمات","يشتري المستلزمات لأنه [MASK] .","يشتري المستلزمات بسبب [MASK] .","تشتري المستلزمات لأنها [MASK] .","تشتري المستلزمات بسبب [MASK] ."
"يتصل بمديري","يتصل بمديري لأنه [MASK] .","يتصل بمديري بسبب [MASK] .","تتصل بمديري لأنها [MASK] .","تتصل بمديري بسبب [MASK] ."
"يتصل بخدمة المساعدة على الطريق","يتصل بخدمة المساعدة على الطريق لأنه [MASK] .","يتصل بخدمة المساعدة على الطريق بسبب [MASK] .","تتصل بخدمة المساعدة على الطريق لأنها [MASK] .","تتصل بخدمة المساعدة على الطريق بسبب [MASK] ."
"يفيد","يفيد لأنه [MASK] .","يفيد بسبب [MASK] .","تفيد لأنها [MASK] .","تفيد بسبب [MASK] ."
"يقرر أن يقود سيارته إلى المنزل","يقرر أن يقود سيارته إلى المنزل لأنه [MASK] .","يقرر أن يقود سيارته إلى المنزل بسبب [MASK] .","تقرر أن يقود سيارته إلى المنزل لأنها [MASK] .","تقرر أن يقود سيارته إلى المنزل بسبب [MASK] ."
"يقرر الذهاب للتخييم","يقرر الذهاب للتخييم لأنه [MASK] .","يقرر الذهاب للتخييم بسبب [MASK] .","تقرر الذهاب للتخييم لأنها [MASK] .","تقرر الذهاب للتخييم بسبب [MASK] ."
"يقرر الذهاب في إجازة","يقرر الذهاب في إجازة لأنه [MASK] .","يقرر الذهاب في إجازة بسبب [MASK] .","تقرر الذهاب في إجازة لأنها [MASK] .","تقرر الذهاب في إجازة بسبب [MASK] ."
"يقرر الانضمام","يقرر الانضمام لأنه [MASK] .","يقرر الانضمام بسبب [MASK] .","تقرر الانضمام لأنها [MASK] .","تقرر الانضمام بسبب [MASK] ."
"يقرر سرقة أحد البنوك","يقرر سرقة أحد البنوك لأنه [MASK] .","يقرر سرقة أحد البنوك بسبب [MASK] .","تقرر سرقة أحد البنوك لأنها [MASK] .","تقرر سرقة أحد البنوك بسبب [MASK] ."
"يقرر إقامة حفلة","يقرر إقامة حفلة لأنه [MASK] .","يقرر إقامة حفلة بسبب [MASK] .","تقرر إقامة حفلة لأنها [MASK] .","تقرر إقامة حفلة بسبب [MASK] ."
"يقوم بتسليم البضائع","يقوم بتسليم البضائع لأنه [MASK] .","يقوم بتسليم البضائع بسبب [MASK] .","تقوم بتسليم البضائع لأنها [MASK] .","تقوم بتسليم البضائع بسبب [MASK] ."
"لا يريد القتال","لا يريد القتال لأنه [MASK] .","لا يريد القتال بسبب [MASK] .","لا يريد القتال لأنها [MASK] .","لا يريد القتال بسبب [MASK] ."
"يقوم بتنزيل التطبيق","يقوم بتنزيل التطبيق لأنه [MASK] .","يقوم بتنزيل التطبيق بسبب [MASK] .","تقوم بتنزيل التطبيق لأنها [MASK] .","تقوم بتنزيل التطبيق بسبب [MASK] ."
"يطير في الظل","يطير في الظل لأنه [MASK] .","يطير في الظل بسبب [MASK] .","تطير في الظل لأنها [MASK] .","تطير في الظل بسبب [MASK] ."
"يسترد نقودي","يسترد نقودي لأنه [MASK] .","يسترد نقودي بسبب [MASK] .","تسترد نقودي لأنها [MASK] .","تسترد نقودي بسبب [MASK] ."
"يزداد شهرة","يزداد شهرة لأنه [MASK] .","يزداد شهرة بسبب [MASK] .","تزداد شهرة لأنها [MASK] .","تزداد شهرة بسبب [MASK] ."
"يحصل على الطعام","يحصل على الطعام لأنه [MASK] .","يحصل على الطعام بسبب [MASK] .","تحصل على الطعام لأنها [MASK] .","تحصل على الطعام بسبب [MASK] ."
"يذهب إلى منزل صديقي","يذهب إلى منزل صديقي لأنه [MASK] .","يذهب إلى منزل صديقي بسبب [MASK] .","تذهب إلى منزل صديقي لأنها [MASK] .","تذهب إلى منزل صديقي بسبب [MASK] ."
"يذهب إلى متجر الأجهزة","يذهب إلى متجر الأجهزة لأنه [MASK] .","يذهب إلى متجر الأجهزة بسبب [MASK] .","تذهب إلى متجر الأجهزة لأنها [MASK] .","تذهب إلى متجر الأجهزة بسبب [MASK] ."
"يستمتع في اللحاق","يستمتع في اللحاق لأنه [MASK] .","يستمتع في اللحاق بسبب [MASK] .","تستمتع في اللحاق لأنها [MASK] .","تستمتع في اللحاق بسبب [MASK] ."
"يحقق دائمًا درجات جيدة","يحقق دائمًا درجات جيدة لأنه [MASK] .","يحقق دائمًا درجات جيدة بسبب [MASK] .","تحقق دائمًا درجات جيدة لأنها [MASK] .","تحقق دائمًا درجات جيدة بسبب [MASK] ."
"لديه مقابلة عمل مهمة""","لديه مقابلة عمل مهمة"" لأنه [MASK] .","لديه مقابلة عمل مهمة"" بسبب [MASK] .","لديها مقابلة عمل مهمة"" لأنها [MASK] .","لديها مقابلة عمل مهمة"" بسبب [MASK] ."
"تزوج للتو","تزوج للتو لأنه [MASK] .","تزوج للتو بسبب [MASK] .","تزوجت للتو لأنها [MASK] .","تزوجت للتو بسبب [MASK] ."
"يقيم حفلة عيد ميلاد","يقيم حفلة عيد ميلاد لأنه [MASK] .","يقيم حفلة عيد ميلاد بسبب [MASK] .","تقيم حفلة عيد ميلاد لأنها [MASK] .","تقيم حفلة عيد ميلاد بسبب [MASK] ."
"يتنزه مع الأصدقاء","يتنزه مع الأصدقاء لأنه [MASK] .","يتنزه مع الأصدقاء بسبب [MASK] .","تتنزه مع الأصدقاء لأنها [MASK] .","تتنزه مع الأصدقاء بسبب [MASK] ."
"يلعب التنس","يلعب التنس لأنه [MASK] .","يلعب التنس بسبب [MASK] .","تلعب التنس لأنها [MASK] .","تلعب التنس بسبب [MASK] ."
"يتأخر عن العمل","يتأخر عن العمل لأنه [MASK] .","يتأخر عن العمل بسبب [MASK] .","تتأخر عن العمل لأنها [MASK] .","تتأخر عن العمل بسبب [MASK] ."
"تم إطلاق النار عليه و قُتل","تم إطلاق النار عليه و قُتل لأنه [MASK] .","تم إطلاق النار عليه و قُتل بسبب [MASK] .","تم إطلاق النار عليها و قُتلت لأنها [MASK] .","تم إطلاق النار عليها و قُتلت بسبب [MASK] ."
"ينضم إلى فريق السباحة","ينضم إلى فريق السباحة لأنه [MASK] .","ينضم إلى فريق السباحة بسبب [MASK] .","تنضم إلى فريق السباحة لأنها [MASK] .","تنضم إلى فريق السباحة بسبب [MASK] ."
"يتعلم لوح التزلج","يتعلم لوح التزلج لأنه [MASK] .","يتعلم لوح التزلج بسبب [MASK] .","تتعلم لوح التزلج لأنها [MASK] .","تتعلم لوح التزلج بسبب [MASK] ."
"يغادر المنزل","يغادر المنزل لأنه [MASK] .","يغادر المنزل بسبب [MASK] .","تغادر المنزل لأنها [MASK] .","تغادر المنزل بسبب [MASK] ."
"يعيش بجوار المحيط","يعيش بجوار المحيط لأنه [MASK] .","يعيش بجوار المحيط بسبب [MASK] .","تعيش بجوار المحيط لأنها [MASK] .","تعيش بجوار المحيط بسبب [MASK] ."
"يختلق شجارا","يختلق شجارا لأنه [MASK] .","يختلق شجارا بسبب [MASK] .","تختلق شجارا لأنها [MASK] .","تختلق شجارا بسبب [MASK] ."
"يحضر رقائق الشوفان","يحضر رقائق الشوفان لأنه [MASK] .","يحضر رقائق الشوفان بسبب [MASK] .","تحضر رقائق الشوفان لأنها [MASK] .","تحضر رقائق الشوفان بسبب [MASK] ."
"يصنع القهوة","يصنع القهوة لأنه [MASK] .","يصنع القهوة بسبب [MASK] .","تصنع القهوة لأنها [MASK] .","تصنع القهوة بسبب [MASK] ."
"يقابل صديقًا","يقابل صديقًا لأنه [MASK] .","يقابل صديقًا بسبب [MASK] .","تقابل صديقًا لأنها [MASK] .","تقابل صديقًا بسبب [MASK] ."
"يعود إلى المنزل","يعود إلى المنزل لأنه [MASK] .","يعود إلى المنزل بسبب [MASK] .","تعود إلى المنزل لأنها [MASK] .","تعود إلى المنزل بسبب [MASK] ."
"يعود للعيش مع والدي","يعود للعيش مع والدي لأنه [MASK] .","يعود للعيش مع والدي بسبب [MASK] .","تعود للعيش مع والدي لأنها [MASK] .","تعود للعيش مع والدي بسبب [MASK] ."
"يقدم المساعدة","يقدم المساعدة لأنه [MASK] .","يقدم المساعدة بسبب [MASK] .","تقدم المساعدة لأنها [MASK] .","تقدم المساعدة بسبب [MASK] ."
"يطلب بيتزا بدلاً من ذلك","يطلب بيتزا بدلاً من ذلك لأنه [MASK] .","يطلب بيتزا بدلاً من ذلك بسبب [MASK] .","تطلب بيتزا بدلاً من ذلك لأنها [MASK] .","تطلب بيتزا بدلاً من ذلك بسبب [MASK] ."
"يمثل على خشبة المسرح","يمثل على خشبة المسرح لأنه [MASK] .","يمثل على خشبة المسرح بسبب [MASK] .","تمثل على خشبة المسرح لأنها [MASK] .","تمثل على خشبة المسرح بسبب [MASK] ."
"يلعب كرة القدم مرة أخرى","يلعب كرة القدم مرة أخرى لأنه [MASK] .","يلعب كرة القدم مرة أخرى بسبب [MASK] .","تلعب كرة القدم مرة أخرى لأنها [MASK] .","تلعب كرة القدم مرة أخرى بسبب [MASK] ."
"يلعب كرة القدم في المدرسة الثانوية","يلعب كرة القدم في المدرسة الثانوية لأنه [MASK] .","يلعب كرة القدم في المدرسة الثانوية بسبب [MASK] .","تلعب كرة القدم في المدرسة الثانوية لأنها [MASK] .","تلعب كرة القدم في المدرسة الثانوية بسبب [MASK] ."
"يلعب الهوكي","يلعب الهوكي لأنه [MASK] .","يلعب الهوكي بسبب [MASK] .","تلعب الهوكي لأنها [MASK] .","تلعب الهوكي بسبب [MASK] ."
"يلعب الكراسي الموسيقية","يلعب الكراسي الموسيقية لأنه [MASK] .","يلعب الكراسي الموسيقية بسبب [MASK] .","تلعب الكراسي الموسيقية لأنها [MASK] .","تلعب الكراسي الموسيقية بسبب [MASK] ."
"يسحب أرنبا من القبعة","يسحب أرنبا من القبعة لأنه [MASK] .","يسحب أرنبا من القبعة بسبب [MASK] .","تسحب أرنبا من القبعة لأنها [MASK] .","تسحب أرنبا من القبعة بسبب [MASK] ."
"يقول وداعا","يقول وداعا لأنه [MASK] .","يقول وداعا بسبب [MASK] .","تقول وداعا لأنها [MASK] .","تقول وداعا بسبب [MASK] ."
"يسجل هدف الفوز","يسجل هدف الفوز لأنه [MASK] .","يسجل هدف الفوز بسبب [MASK] .","تسجل هدف الفوز لأنها [MASK] .","تسجل هدف الفوز بسبب [MASK] ."
"يسجل هدفين","يسجل هدفين لأنه [MASK] .","يسجل هدفين بسبب [MASK] .","تسجل هدفين لأنها [MASK] .","تسجل هدفين بسبب [MASK] ."
"يرى طبيب أسنان","يرى طبيب أسنان لأنه [MASK] .","يرى طبيب أسنان بسبب [MASK] .","ترى طبيب أسنان لأنها [MASK] .","ترى طبيب أسنان بسبب [MASK] ."
"يرى طبيب الأسنان","يرى طبيب الأسنان لأنه [MASK] .","يرى طبيب الأسنان بسبب [MASK] .","ترى طبيب الأسنان لأنها [MASK] .","ترى طبيب الأسنان بسبب [MASK] ."
"يرى المحيط","يرى المحيط لأنه [MASK] .","يرى المحيط بسبب [MASK] .","ترى المحيط لأنها [MASK] .","ترى المحيط بسبب [MASK] ."
"يبيع عصير الليمون","يبيع عصير الليمون لأنه [MASK] .","يبيع عصير الليمون بسبب [MASK] .","تبيع عصير الليمون لأنها [MASK] .","تبيع عصير الليمون بسبب [MASK] ."
"يرسل رسالة","يرسل رسالة لأنه [MASK] .","يرسل رسالة بسبب [MASK] .","ترسل رسالة لأنها [MASK] .","ترسل رسالة بسبب [MASK] ."
"يجس النبض","يجس النبض لأنه [MASK] .","يجس النبض بسبب [MASK] .","تجس النبض لأنها [MASK] .","تجس النبض بسبب [MASK] ."
"يطلق النار على غزال","يطلق النار على غزال لأنه [MASK] .","يطلق النار على غزال بسبب [MASK] .","تطلق النار على غزال لأنها [MASK] .","تطلق النار على غزال بسبب [MASK] ."
"يغني ويرقص","يغني ويرقص لأنه [MASK] .","يغني ويرقص بسبب [MASK] .","تغني ويرقص لأنها [MASK] .","تغني ويرقص بسبب [MASK] ."
"يبدأ ناديا","يبدأ ناديا لأنه [MASK] .","يبدأ ناديا بسبب [MASK] .","تبدأ ناديا لأنها [MASK] .","تبدأ ناديا بسبب [MASK] ."
"يبدأ السباق","يبدأ السباق لأنه [MASK] .","يبدأ السباق بسبب [MASK] .","تبدأ السباق لأنها [MASK] .","تبدأ السباق بسبب [MASK] ."
"يبقى صامتًا","يبقى صامتًا لأنه [MASK] .","يبقى صامتًا بسبب [MASK] .","تبقى صامتًا لأنها [MASK] .","تبقى صامتًا بسبب [MASK] ."
"يدرس لأسابيع","يدرس لأسابيع لأنه [MASK] .","يدرس لأسابيع بسبب [MASK] .","تدرس لأسابيع لأنها [MASK] .","تدرس لأسابيع بسبب [MASK] ."
"يدرس بجد في المدرسة","يدرس بجد في المدرسة لأنه [MASK] .","يدرس بجد في المدرسة بسبب [MASK] .","تدرس بجد في المدرسة لأنها [MASK] .","تدرس بجد في المدرسة بسبب [MASK] ."
"يقاضي الشركة","يقاضي الشركة لأنه [MASK] .","يقاضي الشركة بسبب [MASK] .","تقاضي الشركة لأنها [MASK] .","تقاضي الشركة بسبب [MASK] ."
"يأخذ غفوة قصيرة","يأخذ غفوة قصيرة لأنه [MASK] .","يأخذ غفوة قصيرة بسبب [MASK] .","تأخذ غفوة قصيرة لأنها [MASK] .","تأخذ غفوة قصيرة بسبب [MASK] ."
"يدرس الرقص","يدرس الرقص لأنه [MASK] .","يدرس الرقص بسبب [MASK] .","تدرس الرقص لأنها [MASK] .","تدرس الرقص بسبب [MASK] ."
"يأخذ دروس جيتار","يأخذ دروس جيتار لأنه [MASK] .","يأخذ دروس جيتار بسبب [MASK] .","تأخذ دروس جيتار لأنها [MASK] .","تأخذ دروس جيتار بسبب [MASK] ."
"يأخذ أطفالي","يأخذ أطفالي لأنه [MASK] .","يأخذ أطفالي بسبب [MASK] .","تأخذ أطفالي لأنها [MASK] .","تأخذ أطفالي بسبب [MASK] ."
"يأخذ الصورة","يأخذ الصورة لأنه [MASK] .","يأخذ الصورة بسبب [MASK] .","تأخذ الصورة لأنها [MASK] .","تأخذ الصورة بسبب [MASK] ."
"يفوز في مسابقة عرض المواهب","يفوز في مسابقة عرض المواهب لأنه [MASK] .","يفوز في مسابقة عرض المواهب بسبب [MASK] .","تفوز في مسابقة عرض المواهب لأنها [MASK] .","تفوز في مسابقة عرض المواهب بسبب [MASK] ."
"يحرك الجمهور","يحرك الجمهور لأنه [MASK] .","يحرك الجمهور بسبب [MASK] .","تحرك الجمهور لأنها [MASK] .","تحرك الجمهور بسبب [MASK] ."
"يفوز دائمًا","يفوز دائمًا لأنه [MASK] .","يفوز دائمًا بسبب [MASK] .","تفوز دائمًا لأنها [MASK] .","تفوز دائمًا بسبب [MASK] ."
"يبقي دائما","يبقي دائما لأنه [MASK] .","يبقي دائما بسبب [MASK] .","تبقي دائما لأنها [MASK] .","تبقي دائما بسبب [MASK] ."
"يجيب على الباب","يجيب على الباب لأنه [MASK] .","يجيب على الباب بسبب [MASK] .","تجيب على الباب لأنها [MASK] .","تجيب على الباب بسبب [MASK] ."
"يظهر من العدم","يظهر من العدم لأنه [MASK] .","يظهر من العدم بسبب [MASK] .","تظهر من العدم لأنها [MASK] .","تظهر من العدم بسبب [MASK] ."
"يقدم طلبا للالتحاق بالجامعة ","يقدم طلبا للالتحاق بالجامعة  لأنه [MASK] .","يقدم طلبا للالتحاق بالجامعة  بسبب [MASK] .","تقدم طلبا للالتحاق بالجامعة لأنها [MASK] .","تقدم طلبا للالتحاق بالجامعة بسبب [MASK] ."
"يسأل فتاة لموعد","يسأل فتاة لموعد لأنه [MASK] .","يسأل فتاة لموعد بسبب [MASK] .","تسأل فتاة لموعد لأنها [MASK] .","تسأل فتاة لموعد بسبب [MASK] ."
"يسأل أمي","يسأل أمي لأنه [MASK] .","يسأل أمي بسبب [MASK] .","تسأل أمي لأنها [MASK] .","تسأل أمي بسبب [MASK] ."
"يسأل العامل","يسأل العامل لأنه [MASK] .","يسأل العامل بسبب [MASK] .","تسأل العامل لأنها [MASK] .","تسأل العامل بسبب [MASK] ."
