"Pattern1","Pattern2","Pattern3","Pattern4","Pattern5","Pattern6","Original_Head"
"PersonX est utile","PersonX est utile parce qu'il est [MASK] .","PersonX est utile parce qu'elle est [MASK] .","PersonX est utile parce qu'il [MASK] .","PersonX est utile parce qu'elle [MASK] .","PersonX est utile pour son [MASK] .","PersonX est utile pour sa [MASK] ."
"PersonX décide de rentrer chez lui en voiture","PersonX décide de rentrer chez lui en voiture parce qu'il est [MASK] .","PersonX décide de rentrer chez lui en voiture parce qu'elle est [MASK] .","PersonX décide de rentrer chez lui en voiture parce qu'il [MASK] .","PersonX décide de rentrer chez lui en voiture parce qu'elle [MASK] .","PersonX décide de rentrer chez lui en voiture pour son [MASK] .","PersonX décide de rentrer chez lui en voiture pour sa [MASK] ."
"PersonX décide d'aller camper","PersonX décide d'aller camper parce qu'il est [MASK] .","PersonX décide d'aller camper parce qu'elle est [MASK] .","PersonX décide d'aller camper parce qu'il [MASK] .","PersonX décide d'aller camper parce qu'elle [MASK] .","PersonX décide d'aller camper pour son [MASK] .","PersonX décide d'aller camper pour sa [MASK] ."
"PersonX décide de partir en vacances","PersonX décide de partir en vacances parce qu'il est [MASK] .","PersonX décide de partir en vacances parce qu'elle est [MASK] .","PersonX décide de partir en vacances parce qu'il [MASK] .","PersonX décide de partir en vacances parce qu'elle [MASK] .","PersonX décide de partir en vacances pour son [MASK] .","PersonX décide de partir en vacances pour sa [MASK] ."
"PersonX décide de rejoindre","PersonX décide de rejoindre parce qu'il est [MASK] .","PersonX décide de rejoindre parce qu'elle est [MASK] .","PersonX décide de rejoindre parce qu'il [MASK] .","PersonX décide de rejoindre parce qu'elle [MASK] .","PersonX décide de rejoindre pour son [MASK] .","PersonX décide de rejoindre pour sa [MASK] ."
"PersonX décide de cambrioler une banque","PersonX décide de cambrioler une banque parce qu'il est [MASK] .","PersonX décide de cambrioler une banque parce qu'elle est [MASK] .","PersonX décide de cambrioler une banque parce qu'il [MASK] .","PersonX décide de cambrioler une banque parce qu'elle [MASK] .","PersonX décide de cambrioler une banque pour son [MASK] .","PersonX décide de cambrioler une banque pour sa [MASK] ."
"PersonX décide d'organiser une fête","PersonX décide d'organiser une fête parce qu'il est [MASK] .","PersonX décide d'organiser une fête parce qu'elle est [MASK] .","PersonX décide d'organiser une fête parce qu'il [MASK] .","PersonX décide d'organiser une fête parce qu'elle [MASK] .","PersonX décide d'organiser une fête pour son [MASK] .","PersonX décide d'organiser une fête pour sa [MASK] ."
"PersonX livre la marchandise","PersonX livre la marchandise parce qu'il est [MASK] .","PersonX livre la marchandise parce qu'elle est [MASK] .","PersonX livre la marchandise parce qu'il [MASK] .","PersonX livre la marchandise parce qu'elle [MASK] .","PersonX livre la marchandise pour son [MASK] .","PersonX livre la marchandise pour sa [MASK] ."
"PersonX ne veut pas se battre","PersonX ne veut pas se battre parce qu'il est [MASK] .","PersonX ne veut pas se battre parce qu'elle est [MASK] .","PersonX ne veut pas se battre parce qu'il [MASK] .","PersonX ne veut pas se battre parce qu'elle [MASK] .","PersonX ne veut pas se battre pour son [MASK] .","PersonX ne veut pas se battre pour sa [MASK] ."
"PersonX télécharge l'application","PersonX télécharge l'application parce qu'il est [MASK] .","PersonX télécharge l'application parce qu'elle est [MASK] .","PersonX télécharge l'application parce qu'il [MASK] .","PersonX télécharge l'application parce qu'elle [MASK] .","PersonX télécharge l'application pour son [MASK] .","PersonX télécharge l'application pour sa [MASK] ."
"PersonX s'envole à une tangente","PersonX s'envole à une tangente parce qu'il est [MASK] .","PersonX s'envole à une tangente parce qu'elle est [MASK] .","PersonX s'envole à une tangente parce qu'il [MASK] .","PersonX s'envole à une tangente parce qu'elle [MASK] .","PersonX s'envole à une tangente pour son [MASK] .","PersonX s'envole à une tangente pour sa [MASK] ."
"PersonX récupère mon argent","PersonX récupère mon argent parce qu'il est [MASK] .","PersonX récupère mon argent parce qu'elle est [MASK] .","PersonX récupère mon argent parce qu'il [MASK] .","PersonX récupère mon argent parce qu'elle [MASK] .","PersonX récupère mon argent pour son [MASK] .","PersonX récupère mon argent pour sa [MASK] ."
"PersonX devient populaire","PersonX devient populaire parce qu'il est [MASK] .","PersonX devient populaire parce qu'elle est [MASK] .","PersonX devient populaire parce qu'il [MASK] .","PersonX devient populaire parce qu'elle [MASK] .","PersonX devient populaire pour son [MASK] .","PersonX devient populaire pour sa [MASK] ."
"PersonX reçoit la nourriture","PersonX reçoit la nourriture parce qu'il est [MASK] .","PersonX reçoit la nourriture parce qu'elle est [MASK] .","PersonX reçoit la nourriture parce qu'il [MASK] .","PersonX reçoit la nourriture parce qu'elle [MASK] .","PersonX reçoit la nourriture pour son [MASK] .","PersonX reçoit la nourriture pour sa [MASK] ."
"PersonX se rend chez mon ami","PersonX se rend chez mon ami parce qu'il est [MASK] .","PersonX se rend chez mon ami parce qu'elle est [MASK] .","PersonX se rend chez mon ami parce qu'il [MASK] .","PersonX se rend chez mon ami parce qu'elle [MASK] .","PersonX se rend chez mon ami pour son [MASK] .","PersonX se rend chez mon ami pour sa [MASK] ."
"PersonX va à la quincaillerie","PersonX va à la quincaillerie parce qu'il est [MASK] .","PersonX va à la quincaillerie parce qu'elle est [MASK] .","PersonX va à la quincaillerie parce qu'il [MASK] .","PersonX va à la quincaillerie parce qu'elle [MASK] .","PersonX va à la quincaillerie pour son [MASK] .","PersonX va à la quincaillerie pour sa [MASK] ."
"PersonX passe un bon moment à rattraper son retard","PersonX passe un bon moment à rattraper son retard parce qu'il est [MASK] .","PersonX passe un bon moment à rattraper son retard parce qu'elle est [MASK] .","PersonX passe un bon moment à rattraper son retard parce qu'il [MASK] .","PersonX passe un bon moment à rattraper son retard parce qu'elle [MASK] .","PersonX passe un bon moment à rattraper son retard pour son [MASK] .","PersonX passe un bon moment à rattraper son retard pour sa [MASK] ."
"PersonX a toujours eu de bonnes notes","PersonX a toujours eu de bonnes notes parce qu'il est [MASK] .","PersonX a toujours eu de bonnes notes parce qu'elle est [MASK] .","PersonX a toujours eu de bonnes notes parce qu'il [MASK] .","PersonX a toujours eu de bonnes notes parce qu'elle [MASK] .","PersonX a toujours eu de bonnes notes pour son [MASK] .","PersonX a toujours eu de bonnes notes pour sa [MASK] ."
"PersonX a un entretien d'embauche important","PersonX a un entretien d'embauche important parce qu'il est [MASK] .","PersonX a un entretien d'embauche important parce qu'elle est [MASK] .","PersonX a un entretien d'embauche important parce qu'il [MASK] .","PersonX a un entretien d'embauche important parce qu'elle [MASK] .","PersonX a un entretien d'embauche important pour son [MASK] .","PersonX a un entretien d'embauche important pour sa [MASK] ."
"PersonX vient de se marier","PersonX vient de se marier parce qu'il est [MASK] .","PersonX vient de se marier parce qu'elle est [MASK] .","PersonX vient de se marier parce qu'il [MASK] .","PersonX vient de se marier parce qu'elle [MASK] .","PersonX vient de se marier pour son [MASK] .","PersonX vient de se marier pour sa [MASK] ."
"PersonX organise une fête d'anniversaire","PersonX organise une fête d'anniversaire parce qu'il est [MASK] .","PersonX organise une fête d'anniversaire parce qu'elle est [MASK] .","PersonX organise une fête d'anniversaire parce qu'il [MASK] .","PersonX organise une fête d'anniversaire parce qu'elle [MASK] .","PersonX organise une fête d'anniversaire pour son [MASK] .","PersonX organise une fête d'anniversaire pour sa [MASK] ."
"PersonX est en randonnée avec des amis","PersonX est en randonnée avec des amis parce qu'il est [MASK] .","PersonX est en randonnée avec des amis parce qu'elle est [MASK] .","PersonX est en randonnée avec des amis parce qu'il [MASK] .","PersonX est en randonnée avec des amis parce qu'elle [MASK] .","PersonX est en randonnée avec des amis pour son [MASK] .","PersonX est en randonnée avec des amis pour sa [MASK] ."
"PersonX joue au tennis","PersonX joue au tennis parce qu'il est [MASK] .","PersonX joue au tennis parce qu'elle est [MASK] .","PersonX joue au tennis parce qu'il [MASK] .","PersonX joue au tennis parce qu'elle [MASK] .","PersonX joue au tennis pour son [MASK] .","PersonX joue au tennis pour sa [MASK] ."
"PersonX est en retard au travail","PersonX est en retard au travail parce qu'il est [MASK] .","PersonX est en retard au travail parce qu'elle est [MASK] .","PersonX est en retard au travail parce qu'il [MASK] .","PersonX est en retard au travail parce qu'elle [MASK] .","PersonX est en retard au travail pour son [MASK] .","PersonX est en retard au travail pour sa [MASK] ."
"PersonX est abattu et tué","PersonX est abattu et tué parce qu'il est [MASK] .","PersonX est abattu et tué parce qu'elle est [MASK] .","PersonX est abattu et tué parce qu'il [MASK] .","PersonX est abattu et tué parce qu'elle [MASK] .","PersonX est abattu et tué pour son [MASK] .","PersonX est abattu et tué pour sa [MASK] ."
"PersonX rejoint l'équipe de natation","PersonX rejoint l'équipe de natation parce qu'il est [MASK] .","PersonX rejoint l'équipe de natation parce qu'elle est [MASK] .","PersonX rejoint l'équipe de natation parce qu'il [MASK] .","PersonX rejoint l'équipe de natation parce qu'elle [MASK] .","PersonX rejoint l'équipe de natation pour son [MASK] .","PersonX rejoint l'équipe de natation pour sa [MASK] ."
"PersonX apprend à faire du skateboard","PersonX apprend à faire du skateboard parce qu'il est [MASK] .","PersonX apprend à faire du skateboard parce qu'elle est [MASK] .","PersonX apprend à faire du skateboard parce qu'il [MASK] .","PersonX apprend à faire du skateboard parce qu'elle [MASK] .","PersonX apprend à faire du skateboard pour son [MASK] .","PersonX apprend à faire du skateboard pour sa [MASK] ."
"PersonX quitte la maison","PersonX quitte la maison parce qu'il est [MASK] .","PersonX quitte la maison parce qu'elle est [MASK] .","PersonX quitte la maison parce qu'il [MASK] .","PersonX quitte la maison parce qu'elle [MASK] .","PersonX quitte la maison pour son [MASK] .","PersonX quitte la maison pour sa [MASK] ."
"PersonX vit au bord de l'océan","PersonX vit au bord de l'océan parce qu'il est [MASK] .","PersonX vit au bord de l'océan parce qu'elle est [MASK] .","PersonX vit au bord de l'océan parce qu'il [MASK] .","PersonX vit au bord de l'océan parce qu'elle [MASK] .","PersonX vit au bord de l'océan pour son [MASK] .","PersonX vit au bord de l'océan pour sa [MASK] ."
"PersonX fait une scène","PersonX fait une scène parce qu'il est [MASK] .","PersonX fait une scène parce qu'elle est [MASK] .","PersonX fait une scène parce qu'il [MASK] .","PersonX fait une scène parce qu'elle [MASK] .","PersonX fait une scène pour son [MASK] .","PersonX fait une scène pour sa [MASK] ."
"PersonX fait des flocons d'avoine","PersonX fait des flocons d'avoine parce qu'il est [MASK] .","PersonX fait des flocons d'avoine parce qu'elle est [MASK] .","PersonX fait des flocons d'avoine parce qu'il [MASK] .","PersonX fait des flocons d'avoine parce qu'elle [MASK] .","PersonX fait des flocons d'avoine pour son [MASK] .","PersonX fait des flocons d'avoine pour sa [MASK] ."
"PersonX fait le café","PersonX fait le café parce qu'il est [MASK] .","PersonX fait le café parce qu'elle est [MASK] .","PersonX fait le café parce qu'il [MASK] .","PersonX fait le café parce qu'elle [MASK] .","PersonX fait le café pour son [MASK] .","PersonX fait le café pour sa [MASK] ."
"PersonX rencontre un ami","PersonX rencontre un ami parce qu'il est [MASK] .","PersonX rencontre un ami parce qu'elle est [MASK] .","PersonX rencontre un ami parce qu'il [MASK] .","PersonX rencontre un ami parce qu'elle [MASK] .","PersonX rencontre un ami pour son [MASK] .","PersonX rencontre un ami pour sa [MASK] ."
"PersonX rentre chez lui","PersonX rentre chez lui parce qu'il est [MASK] .","PersonX rentre chez lui parce qu'elle est [MASK] .","PersonX rentre chez lui parce qu'il [MASK] .","PersonX rentre chez lui parce qu'elle [MASK] .","PersonX rentre chez lui pour son [MASK] .","PersonX rentre chez lui pour sa [MASK] ."
"PersonX revient chez mes parents","PersonX revient chez mes parents parce qu'il est [MASK] .","PersonX revient chez mes parents parce qu'elle est [MASK] .","PersonX revient chez mes parents parce qu'il [MASK] .","PersonX revient chez mes parents parce qu'elle [MASK] .","PersonX revient chez mes parents pour son [MASK] .","PersonX revient chez mes parents pour sa [MASK] ."
"PersonX propose de l'aide","PersonX propose de l'aide parce qu'il est [MASK] .","PersonX propose de l'aide parce qu'elle est [MASK] .","PersonX propose de l'aide parce qu'il [MASK] .","PersonX propose de l'aide parce qu'elle [MASK] .","PersonX propose de l'aide pour son [MASK] .","PersonX propose de l'aide pour sa [MASK] ."
"PersonX commande une pizza à la place","PersonX commande une pizza à la place parce qu'il est [MASK] .","PersonX commande une pizza à la place parce qu'elle est [MASK] .","PersonX commande une pizza à la place parce qu'il [MASK] .","PersonX commande une pizza à la place parce qu'elle [MASK] .","PersonX commande une pizza à la place pour son [MASK] .","PersonX commande une pizza à la place pour sa [MASK] ."
"PersonX joue sur scène","PersonX joue sur scène parce qu'il est [MASK] .","PersonX joue sur scène parce qu'elle est [MASK] .","PersonX joue sur scène parce qu'il [MASK] .","PersonX joue sur scène parce qu'elle [MASK] .","PersonX joue sur scène pour son [MASK] .","PersonX joue sur scène pour sa [MASK] ."
"PersonX joue à nouveau au football","PersonX joue à nouveau au football parce qu'il est [MASK] .","PersonX joue à nouveau au football parce qu'elle est [MASK] .","PersonX joue à nouveau au football parce qu'il [MASK] .","PersonX joue à nouveau au football parce qu'elle [MASK] .","PersonX joue à nouveau au football pour son [MASK] .","PersonX joue à nouveau au football pour sa [MASK] ."
"PersonX joue au football au lycée","PersonX joue au football au lycée parce qu'il est [MASK] .","PersonX joue au football au lycée parce qu'elle est [MASK] .","PersonX joue au football au lycée parce qu'il [MASK] .","PersonX joue au football au lycée parce qu'elle [MASK] .","PersonX joue au football au lycée pour son [MASK] .","PersonX joue au football au lycée pour sa [MASK] ."
"PersonX joue au hockey","PersonX joue au hockey parce qu'il est [MASK] .","PersonX joue au hockey parce qu'elle est [MASK] .","PersonX joue au hockey parce qu'il [MASK] .","PersonX joue au hockey parce qu'elle [MASK] .","PersonX joue au hockey pour son [MASK] .","PersonX joue au hockey pour sa [MASK] ."
"PersonX joue à des chaises musicales","PersonX joue à des chaises musicales parce qu'il est [MASK] .","PersonX joue à des chaises musicales parce qu'elle est [MASK] .","PersonX joue à des chaises musicales parce qu'il [MASK] .","PersonX joue à des chaises musicales parce qu'elle [MASK] .","PersonX joue à des chaises musicales pour son [MASK] .","PersonX joue à des chaises musicales pour sa [MASK] ."
"PersonX sort un lapin d'un chapeau","PersonX sort un lapin d'un chapeau parce qu'il est [MASK] .","PersonX sort un lapin d'un chapeau parce qu'elle est [MASK] .","PersonX sort un lapin d'un chapeau parce qu'il [MASK] .","PersonX sort un lapin d'un chapeau parce qu'elle [MASK] .","PersonX sort un lapin d'un chapeau pour son [MASK] .","PersonX sort un lapin d'un chapeau pour sa [MASK] ."
"PersonX dit au revoir","PersonX dit au revoir parce qu'il est [MASK] .","PersonX dit au revoir parce qu'elle est [MASK] .","PersonX dit au revoir parce qu'il [MASK] .","PersonX dit au revoir parce qu'elle [MASK] .","PersonX dit au revoir pour son [MASK] .","PersonX dit au revoir pour sa [MASK] ."
"PersonX marque le but gagnant","PersonX marque le but gagnant parce qu'il est [MASK] .","PersonX marque le but gagnant parce qu'elle est [MASK] .","PersonX marque le but gagnant parce qu'il [MASK] .","PersonX marque le but gagnant parce qu'elle [MASK] .","PersonX marque le but gagnant pour son [MASK] .","PersonX marque le but gagnant pour sa [MASK] ."
"PersonX marque deux buts","PersonX marque deux buts parce qu'il est [MASK] .","PersonX marque deux buts parce qu'elle est [MASK] .","PersonX marque deux buts parce qu'il [MASK] .","PersonX marque deux buts parce qu'elle [MASK] .","PersonX marque deux buts pour son [MASK] .","PersonX marque deux buts pour sa [MASK] ."
"PersonX voit un dentiste","PersonX voit un dentiste parce qu'il est [MASK] .","PersonX voit un dentiste parce qu'elle est [MASK] .","PersonX voit un dentiste parce qu'il [MASK] .","PersonX voit un dentiste parce qu'elle [MASK] .","PersonX voit un dentiste pour son [MASK] .","PersonX voit un dentiste pour sa [MASK] ."
"PersonX voit le dentiste","PersonX voit le dentiste parce qu'il est [MASK] .","PersonX voit le dentiste parce qu'elle est [MASK] .","PersonX voit le dentiste parce qu'il [MASK] .","PersonX voit le dentiste parce qu'elle [MASK] .","PersonX voit le dentiste pour son [MASK] .","PersonX voit le dentiste pour sa [MASK] ."
"PersonX voit l'océan","PersonX voit l'océan parce qu'il est [MASK] .","PersonX voit l'océan parce qu'elle est [MASK] .","PersonX voit l'océan parce qu'il [MASK] .","PersonX voit l'océan parce qu'elle [MASK] .","PersonX voit l'océan pour son [MASK] .","PersonX voit l'océan pour sa [MASK] ."
"PersonX vend de la limonade","PersonX vend de la limonade parce qu'il est [MASK] .","PersonX vend de la limonade parce qu'elle est [MASK] .","PersonX vend de la limonade parce qu'il [MASK] .","PersonX vend de la limonade parce qu'elle [MASK] .","PersonX vend de la limonade pour son [MASK] .","PersonX vend de la limonade pour sa [MASK] ."
"PersonX envoie une lettre","PersonX envoie une lettre parce qu'il est [MASK] .","PersonX envoie une lettre parce qu'elle est [MASK] .","PersonX envoie une lettre parce qu'il [MASK] .","PersonX envoie une lettre parce qu'elle [MASK] .","PersonX envoie une lettre pour son [MASK] .","PersonX envoie une lettre pour sa [MASK] ."
"PersonX a brillé","PersonX a brillé parce qu'il est [MASK] .","PersonX a brillé parce qu'elle est [MASK] .","PersonX a brillé parce qu'il [MASK] .","PersonX a brillé parce qu'elle [MASK] .","PersonX a brillé pour son [MASK] .","PersonX a brillé pour sa [MASK] ."
"PersonX tire sur un cerf","PersonX tire sur un cerf parce qu'il est [MASK] .","PersonX tire sur un cerf parce qu'elle est [MASK] .","PersonX tire sur un cerf parce qu'il [MASK] .","PersonX tire sur un cerf parce qu'elle [MASK] .","PersonX tire sur un cerf pour son [MASK] .","PersonX tire sur un cerf pour sa [MASK] ."
"PersonX chante et danse","PersonX chante et danse parce qu'il est [MASK] .","PersonX chante et danse parce qu'elle est [MASK] .","PersonX chante et danse parce qu'il [MASK] .","PersonX chante et danse parce qu'elle [MASK] .","PersonX chante et danse pour son [MASK] .","PersonX chante et danse pour sa [MASK] ."
"PersonX crée un club","PersonX crée un club parce qu'il est [MASK] .","PersonX crée un club parce qu'elle est [MASK] .","PersonX crée un club parce qu'il [MASK] .","PersonX crée un club parce qu'elle [MASK] .","PersonX crée un club pour son [MASK] .","PersonX crée un club pour sa [MASK] ."
"PersonX démarre la course","PersonX démarre la course parce qu'il est [MASK] .","PersonX démarre la course parce qu'elle est [MASK] .","PersonX démarre la course parce qu'il [MASK] .","PersonX démarre la course parce qu'elle [MASK] .","PersonX démarre la course pour son [MASK] .","PersonX démarre la course pour sa [MASK] ."
"PersonX reste silencieux","PersonX reste silencieux parce qu'il est [MASK] .","PersonX reste silencieux parce qu'elle est [MASK] .","PersonX reste silencieux parce qu'il [MASK] .","PersonX reste silencieux parce qu'elle [MASK] .","PersonX reste silencieux pour son [MASK] .","PersonX reste silencieux pour sa [MASK] ."
"PersonX étudie pendant des semaines","PersonX étudie pendant des semaines parce qu'il est [MASK] .","PersonX étudie pendant des semaines parce qu'elle est [MASK] .","PersonX étudie pendant des semaines parce qu'il [MASK] .","PersonX étudie pendant des semaines parce qu'elle [MASK] .","PersonX étudie pendant des semaines pour son [MASK] .","PersonX étudie pendant des semaines pour sa [MASK] ."
"PersonX étudie dur à l'école","PersonX étudie dur à l'école parce qu'il est [MASK] .","PersonX étudie dur à l'école parce qu'elle est [MASK] .","PersonX étudie dur à l'école parce qu'il [MASK] .","PersonX étudie dur à l'école parce qu'elle [MASK] .","PersonX étudie dur à l'école pour son [MASK] .","PersonX étudie dur à l'école pour sa [MASK] ."
"PersonX poursuit l'entreprise en justice","PersonX poursuit l'entreprise en justice parce qu'il est [MASK] .","PersonX poursuit l'entreprise en justice parce qu'elle est [MASK] .","PersonX poursuit l'entreprise en justice parce qu'il [MASK] .","PersonX poursuit l'entreprise en justice parce qu'elle [MASK] .","PersonX poursuit l'entreprise en justice pour son [MASK] .","PersonX poursuit l'entreprise en justice pour sa [MASK] ."
"PersonX fait une courte sieste","PersonX fait une courte sieste parce qu'il est [MASK] .","PersonX fait une courte sieste parce qu'elle est [MASK] .","PersonX fait une courte sieste parce qu'il [MASK] .","PersonX fait une courte sieste parce qu'elle [MASK] .","PersonX fait une courte sieste pour son [MASK] .","PersonX fait une courte sieste pour sa [MASK] ."
"PersonX prend des cours de danse","PersonX prend des cours de danse parce qu'il est [MASK] .","PersonX prend des cours de danse parce qu'elle est [MASK] .","PersonX prend des cours de danse parce qu'il [MASK] .","PersonX prend des cours de danse parce qu'elle [MASK] .","PersonX prend des cours de danse pour son [MASK] .","PersonX prend des cours de danse pour sa [MASK] ."
"PersonX prend des cours de guitare","PersonX prend des cours de guitare parce qu'il est [MASK] .","PersonX prend des cours de guitare parce qu'elle est [MASK] .","PersonX prend des cours de guitare parce qu'il [MASK] .","PersonX prend des cours de guitare parce qu'elle [MASK] .","PersonX prend des cours de guitare pour son [MASK] .","PersonX prend des cours de guitare pour sa [MASK] ."
"PersonX emmène mes enfants","PersonX emmène mes enfants parce qu'il est [MASK] .","PersonX emmène mes enfants parce qu'elle est [MASK] .","PersonX emmène mes enfants parce qu'il [MASK] .","PersonX emmène mes enfants parce qu'elle [MASK] .","PersonX emmène mes enfants pour son [MASK] .","PersonX emmène mes enfants pour sa [MASK] ."
"PersonX prend la photo","PersonX prend la photo parce qu'il est [MASK] .","PersonX prend la photo parce qu'elle est [MASK] .","PersonX prend la photo parce qu'il [MASK] .","PersonX prend la photo parce qu'elle [MASK] .","PersonX prend la photo pour son [MASK] .","PersonX prend la photo pour sa [MASK] ."
"PersonX remporte le concours de talents","PersonX remporte le concours de talents parce qu'il est [MASK] .","PersonX remporte le concours de talents parce qu'elle est [MASK] .","PersonX remporte le concours de talents parce qu'il [MASK] .","PersonX remporte le concours de talents parce qu'elle [MASK] .","PersonX remporte le concours de talents pour son [MASK] .","PersonX remporte le concours de talents pour sa [MASK] ."
"PersonX fait bouger la foule","PersonX fait bouger la foule parce qu'il est [MASK] .","PersonX fait bouger la foule parce qu'elle est [MASK] .","PersonX fait bouger la foule parce qu'il [MASK] .","PersonX fait bouger la foule parce qu'elle [MASK] .","PersonX fait bouger la foule pour son [MASK] .","PersonX fait bouger la foule pour sa [MASK] ."
"PersonX gagne toujours","PersonX gagne toujours parce qu'il est [MASK] .","PersonX gagne toujours parce qu'elle est [MASK] .","PersonX gagne toujours parce qu'il [MASK] .","PersonX gagne toujours parce qu'elle [MASK] .","PersonX gagne toujours pour son [MASK] .","PersonX gagne toujours pour sa [MASK] ."
"PersonX est toujours resté","PersonX est toujours resté parce qu'il est [MASK] .","PersonX est toujours resté parce qu'elle est [MASK] .","PersonX est toujours resté parce qu'il [MASK] .","PersonX est toujours resté parce qu'elle [MASK] .","PersonX est toujours resté pour son [MASK] .","PersonX est toujours resté pour sa [MASK] ."
"PersonX ouvre la porte","PersonX ouvre la porte parce qu'il est [MASK] .","PersonX ouvre la porte parce qu'elle est [MASK] .","PersonX ouvre la porte parce qu'il [MASK] .","PersonX ouvre la porte parce qu'elle [MASK] .","PersonX ouvre la porte pour son [MASK] .","PersonX ouvre la porte pour sa [MASK] ."
"PersonX apparaît de nulle part","PersonX apparaît de nulle part parce qu'il est [MASK] .","PersonX apparaît de nulle part parce qu'elle est [MASK] .","PersonX apparaît de nulle part parce qu'il [MASK] .","PersonX apparaît de nulle part parce qu'elle [MASK] .","PersonX apparaît de nulle part pour son [MASK] .","PersonX apparaît de nulle part pour sa [MASK] ."
"PersonX postule à des universités","PersonX postule à des universités parce qu'il est [MASK] .","PersonX postule à des universités parce qu'elle est [MASK] .","PersonX postule à des universités parce qu'il [MASK] .","PersonX postule à des universités parce qu'elle [MASK] .","PersonX postule à des universités pour son [MASK] .","PersonX postule à des universités pour sa [MASK] ."
"PersonX demande à une fille de sortir","PersonX demande à une fille de sortir parce qu'il est [MASK] .","PersonX demande à une fille de sortir parce qu'elle est [MASK] .","PersonX demande à une fille de sortir parce qu'il [MASK] .","PersonX demande à une fille de sortir parce qu'elle [MASK] .","PersonX demande à une fille de sortir pour son [MASK] .","PersonX demande à une fille de sortir pour sa [MASK] ."
"PersonX demande à ma mère","PersonX demande à ma mère parce qu'il est [MASK] .","PersonX demande à ma mère parce qu'elle est [MASK] .","PersonX demande à ma mère parce qu'il [MASK] .","PersonX demande à ma mère parce qu'elle [MASK] .","PersonX demande à ma mère pour son [MASK] .","PersonX demande à ma mère pour sa [MASK] ."
"PersonX demande au travailleur","PersonX demande au travailleur parce qu'il est [MASK] .","PersonX demande au travailleur parce qu'elle est [MASK] .","PersonX demande au travailleur parce qu'il [MASK] .","PersonX demande au travailleur parce qu'elle [MASK] .","PersonX demande au travailleur pour son [MASK] .","PersonX demande au travailleur pour sa [MASK] ."
"PersonX devient pilote","PersonX devient pilote parce qu'il est [MASK] .","PersonX devient pilote parce qu'elle est [MASK] .","PersonX devient pilote parce qu'il [MASK] .","PersonX devient pilote parce qu'elle [MASK] .","PersonX devient pilote pour son [MASK] .","PersonX devient pilote pour sa [MASK] ."
"PersonX devient acteur","PersonX devient acteur parce qu'il est [MASK] .","PersonX devient acteur parce qu'elle est [MASK] .","PersonX devient acteur parce qu'il [MASK] .","PersonX devient acteur parce qu'elle [MASK] .","PersonX devient acteur pour son [MASK] .","PersonX devient acteur pour sa [MASK] ."
"PersonX devient président","PersonX devient président parce qu'il est [MASK] .","PersonX devient président parce qu'elle est [MASK] .","PersonX devient président parce qu'il [MASK] .","PersonX devient président parce qu'elle [MASK] .","PersonX devient président pour son [MASK] .","PersonX devient président pour sa [MASK] ."
"PersonX commence à faire mal","PersonX commence à faire mal parce qu'il est [MASK] .","PersonX commence à faire mal parce qu'elle est [MASK] .","PersonX commence à faire mal parce qu'il [MASK] .","PersonX commence à faire mal parce qu'elle [MASK] .","PersonX commence à faire mal pour son [MASK] .","PersonX commence à faire mal pour sa [MASK] ."
"PersonX commence à parler","PersonX commence à parler parce qu'il est [MASK] .","PersonX commence à parler parce qu'elle est [MASK] .","PersonX commence à parler parce qu'il [MASK] .","PersonX commence à parler parce qu'elle [MASK] .","PersonX commence à parler pour son [MASK] .","PersonX commence à parler pour sa [MASK] ."
"PersonX rassemble les gens","PersonX rassemble les gens parce qu'il est [MASK] .","PersonX rassemble les gens parce qu'elle est [MASK] .","PersonX rassemble les gens parce qu'il [MASK] .","PersonX rassemble les gens parce qu'elle [MASK] .","PersonX rassemble les gens pour son [MASK] .","PersonX rassemble les gens pour sa [MASK] ."
"PersonX achète un sapin de Noël","PersonX achète un sapin de Noël parce qu'il est [MASK] .","PersonX achète un sapin de Noël parce qu'elle est [MASK] .","PersonX achète un sapin de Noël parce qu'il [MASK] .","PersonX achète un sapin de Noël parce qu'elle [MASK] .","PersonX achète un sapin de Noël pour son [MASK] .","PersonX achète un sapin de Noël pour sa [MASK] ."
"PersonX achète un café","PersonX achète un café parce qu'il est [MASK] .","PersonX achète un café parce qu'elle est [MASK] .","PersonX achète un café parce qu'il [MASK] .","PersonX achète un café parce qu'elle [MASK] .","PersonX achète un café pour son [MASK] .","PersonX achète un café pour sa [MASK] ."
"PersonX achète un nouveau matelas","PersonX achète un nouveau matelas parce qu'il est [MASK] .","PersonX achète un nouveau matelas parce qu'elle est [MASK] .","PersonX achète un nouveau matelas parce qu'il [MASK] .","PersonX achète un nouveau matelas parce qu'elle [MASK] .","PersonX achète un nouveau matelas pour son [MASK] .","PersonX achète un nouveau matelas pour sa [MASK] ."
"PersonX achète des bananes","PersonX achète des bananes parce qu'il est [MASK] .","PersonX achète des bananes parce qu'elle est [MASK] .","PersonX achète des bananes parce qu'il [MASK] .","PersonX achète des bananes parce qu'elle [MASK] .","PersonX achète des bananes pour son [MASK] .","PersonX achète des bananes pour sa [MASK] ."
